Year,Defense,Nondefense,Total Discretionary
1969,82.7,34.6,117.3
1970,81.9,38.3,120.3
1971,79,43.5,122.5
1972,79.3,49.2,128.5
1973,77.1,53.3,130.4
1974,80.7,57.5,138.2
1975,87.6,70.4,158
1976,89.9,85.7,175.6
1977,97.5,99.6,197.1
1978,104.6,114.1,218.7
1979,116.8,123.2,240
1980,134.6,141.7,276.3
1981,158,149.9,307.9
1982,185.9,140,326
1983,209.9,143.4,353.3
1984,228,151.4,379.4
1985,253.1,162.7,415.8
1986,273.8,164.7,438.5
1987,282.5,161.6,444.2
1988,290.9,173.5,464.4
1989,304,184.8,488.8
1990,300.1,200.4,500.6
1991,319.7,213.6,533.3
1992,302.6,231.2,533.8
1993,292.4,247.3,539.8
1994,282.3,259.1,541.3
1995,273.6,271.2,544.8
1996,266,266.8,532.7
1997,271.7,275.4,547
1998,270.3,281.7,552
1999,275.5,296.7,572.1
2000,295,319.7,614.6
2001,306.1,343,649
2002,349,385,734
2003,404.9,419.4,824.3
2004,454.1,441,895.1
2005,493.6,474.9,968.5
2006,520,496.7,1016.6
2007,547.9,493.7,1041.6
2008,612.4,522.5,1134.9
2009,656.7,580.8,1237.5
2010,688.9,658.3,1347.2
2011,699.4,647.7,1347.1
2012,670.5,615.6,1286.1
2013,625.8,576.4,1202.1
2014,596.4,582.2,1178.7
2015,583.4,585.3,1168.7
2016,584.8,600.4,1185.2
2017,590.2,610,1200.2
2018,621.7,641.7,1263.4
